task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1245	89/a667a6	379304	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:CUT_CALC_REPROD (H3K27_N_R2)	COMPLETED	0	2025-01-24 04:19:18.287	5.6s	77ms	42.5%	3.5 MB	6.4 MB	4.2 MB	1.2 MB
1254	84/24c926	379345	NFCORE_CUTANDRUN:CUTANDRUN:CONSENSUS_PEAKS:SORT (H3K27_N)	COMPLETED	0	2025-01-24 04:19:18.420	7.4s	324ms	64.6%	3.7 MB	6.6 MB	10.8 MB	10.7 MB
1252	6d/7be9db	380199	NFCORE_CUTANDRUN:CUTANDRUN:CONSENSUS_PEAKS:SORT (H3K27_A)	COMPLETED	0	2025-01-24 04:19:18.892	7.8s	127ms	49.0%	5.7 MB	398.6 MB	3.1 MB	3 MB
1247	19/0299ee	380517	NFCORE_CUTANDRUN:CUTANDRUN:CONSENSUS_PEAKS:SORT (nH3K27_N)	COMPLETED	0	2025-01-24 04:19:19.022	8s	63ms	0.0%	3.1 MB	3.9 MB	215.4 KB	122.6 KB
1249	12/0630a3	380601	NFCORE_CUTANDRUN:CUTANDRUN:CONSENSUS_PEAKS:SORT (nH3K4_A)	COMPLETED	0	2025-01-24 04:19:19.057	8.1s	62ms	23.8%	3.5 MB	18.4 MB	187 KB	94.2 KB
1251	f5/ef8281	380156	NFCORE_CUTANDRUN:CUTANDRUN:CONSENSUS_PEAKS:SORT (H3K4_A)	COMPLETED	0	2025-01-24 04:19:18.867	8.5s	139ms	30.7%	5.7 MB	352.7 MB	2.8 MB	2.7 MB
1255	13/f76935	384066	NFCORE_CUTANDRUN:CUTANDRUN:CONSENSUS_PEAKS:BEDTOOLS_MERGE (nH3K4_N)	COMPLETED	0	2025-01-24 04:19:23.497	7.8s	0ms	31.6%	3.2 MB	5.4 MB	205.5 KB	146.7 KB
1256	bc/67a020	384126	NFCORE_CUTANDRUN:CUTANDRUN:CONSENSUS_PEAKS:BEDTOOLS_MERGE (nH3K27_A)	COMPLETED	0	2025-01-24 04:19:23.700	8.2s	0ms	30.2%	3.1 MB	5.4 MB	278 KB	232.4 KB
1257	b7/f3eda4	384426	NFCORE_CUTANDRUN:CUTANDRUN:CONSENSUS_PEAKS:BEDTOOLS_MERGE (H3K4_N)	COMPLETED	0	2025-01-24 04:19:23.950	8.1s	0ms	61.8%	7.8 MB	13.9 MB	4.2 MB	4.4 MB
1266	62/e85a8a	384892	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (nH3K4_A_R1)	COMPLETED	0	2025-01-24 04:19:24.984	7.3s	0ms	21.9%	2.8 MB	11 MB	109.7 KB	26.5 KB
1279	48/dd32be	384921	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (H3K4_N_R2)	COMPLETED	0	2025-01-24 04:19:25.009	7.8s	0ms	60.5%	7.6 MB	26.7 MB	1.3 MB	1.5 MB
1278	fb/809bae	384949	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (H3K4_N_R4)	COMPLETED	0	2025-01-24 04:19:25.032	8.6s	0ms	44.0%	2.6 MB	11 MB	1.3 MB	586.6 KB
1258	1e/ac892f	385032	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (nH3K27_N_R1)	COMPLETED	0	2025-01-24 04:19:25.095	9.1s	0ms	12.6%	6.9 MB	26.6 MB	114.6 KB	11.6 KB
1270	4a/6a3ab5	387035	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (H3K4_A_R1)	COMPLETED	0	2025-01-24 04:19:27.052	7.2s	0ms	47.5%	7.5 MB	26.7 MB	929.6 KB	1000.1 KB
1272	0d/32626e	386411	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (H3K4_A_R2)	COMPLETED	0	2025-01-24 04:19:25.819	8.7s	0ms	52.4%	7.1 MB	26.6 MB	929.6 KB	739.3 KB
1280	1a/9a59fa	386967	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (H3K4_N_R1)	COMPLETED	0	2025-01-24 04:19:26.746	8.4s	0ms	53.7%	7.5 MB	26.7 MB	1.3 MB	639.3 KB
1265	60/a842f1	387080	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (nH3K4_A_R2)	COMPLETED	0	2025-01-24 04:19:27.187	9.4s	0ms	23.8%	7.2 MB	26.6 MB	109.7 KB	18.2 KB
1208	cb/3f94e3	349446	NFCORE_CUTANDRUN:CUTANDRUN:DEEPTOOLS_COMPUTEMATRIX_PEAKS (H3K4_N_R4)	COMPLETED	0	2025-01-24 04:18:30.592	1m 6s	1m 3s	434.7%	563.1 MB	1.6 GB	10.6 GB	50.5 MB
1281	56/7cd2c4	387162	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (H3K4_N_R3)	COMPLETED	0	2025-01-24 04:19:27.427	9.7s	0ms	59.7%	7.1 MB	26.5 MB	1.3 MB	1.6 MB
1268	fc/21b548	390897	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (nH3K27_A_R1)	COMPLETED	0	2025-01-24 04:19:32.347	7.7s	0ms	14.2%	2.9 MB	11 MB	137.5 KB	35.7 KB
1269	08/45b213	391056	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (nH3K27_A_R3)	COMPLETED	0	2025-01-24 04:19:32.874	7.2s	0ms	32.1%	7.9 MB	27.1 MB	137.5 KB	18.1 KB
1262	30/af4abd	392471	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (nH3K4_N_R1)	COMPLETED	0	2025-01-24 04:19:34.554	6.3s	0ms	31.5%	7.1 MB	26.6 MB	117.4 KB	30.6 KB
1263	78/13c6a4	392003	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (nH3K4_N_R3)	COMPLETED	0	2025-01-24 04:19:34.320	6.9s	0ms	28.3%	7.1 MB	26.6 MB	117.4 KB	24.4 KB
1260	8e/5a0e40	391920	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (nH3K27_N_R3)	COMPLETED	0	2025-01-24 04:19:34.173	7.3s	0ms	12.5%	8.1 MB	27.8 MB	114.6 KB	45.1 KB
1271	df/e79e5f	390273	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (H3K4_A_R4)	COMPLETED	0	2025-01-24 04:19:31.320	10.3s	0ms	38.6%	7.5 MB	26.7 MB	929.6 KB	252.1 KB
1259	a7/8ba112	390737	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (nH3K27_N_R2)	COMPLETED	0	2025-01-24 04:19:31.879	10s	0ms	24.0%	2.8 MB	11 MB	114.6 KB	27.6 KB
1267	cb/f1aae9	391556	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (nH3K27_A_R2)	COMPLETED	0	2025-01-24 04:19:33.610	8.4s	0ms	40.8%	2.8 MB	11 MB	137.5 KB	77 KB
1264	30/9fa84d	390837	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:BEDTOOLS_INTERSECT (nH3K4_A_R3)	COMPLETED	0	2025-01-24 04:19:32.121	10s	0ms	25.0%	7.1 MB	26.6 MB	109.7 KB	21.8 KB
